"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"hsa-miR-125a(1)",192.12024039731,0.63437655501665,0.482919750961589,1.31362727192972,0.188971666444129,0.77193106985349,1
"hsa-miR-125aSTAR(1)",10.1978927927628,-0.306405190248115,0.737333572687432,-0.415558441386752,0.677733142428906,0.901505107380754,1
"hsa-miR-125b(2)",94.6636999673136,1.27125752354708,0.619385331314296,2.05245016192029,0.0401259338250197,0.760324285233523,1
"hsa-miR-126-3p(1)",5061.03908441775,0.255215295028922,0.613157331570563,0.416231335561469,0.677240732072893,0.901505107380754,1
"hsa-miR-126-5p(1)",2116.44612567092,0.913787377326675,0.538934530299386,1.6955443118834,0.0899722116614913,0.760324285233523,1
"hsa-miR-127(1)",72.3194038579859,-0.433346843027768,0.639990975691397,-0.677113989864644,0.498333633326427,0.869228402088236,1
"hsa-miR-1277-3p(1)",28.1998303446758,-0.144256419309232,0.901354518288576,-0.160044040809975,0.872846381776043,0.949965339202038,1
"hsa-miR-1277-5p(1)",21.487662570865,0.20495955473652,0.59679262005389,0.343435136175129,0.731271130259041,0.901505107380754,1
"hsa-miR-127STAR(1)",22.6223822809673,-0.494213162411033,0.629195048640264,-0.785468931262355,0.43217867935419,0.869058537647469,1
"hsa-miR-128(2)",262.840998165328,0.77300466845426,0.511938466336971,1.50995621404516,0.131054597229812,0.77193106985349,1
"hsa-miR-1301(1)",56.5405716025631,0.174060220361055,0.499569354480426,0.348420532204353,0.727524384944914,0.901505107380754,1
"hsa-miR-1307-3p(1)",93.0095096067274,-0.163654832678387,0.514510325988706,-0.318078810884699,0.750425156067825,0.901505107380754,1
"hsa-miR-1307-5p(1)",77.0417305440597,-0.220172223330517,0.536105932924011,-0.410687906641251,0.681301395657168,0.901505107380754,1
"hsa-miR-130a(1)",2782.15806228778,0.225057326688948,0.588070753183872,0.382704505317542,0.701938873567746,0.901505107380754,1
"hsa-miR-130b(1)",317.668307762828,0.29344781738602,0.522281353518765,0.561857733210223,0.574212953146769,0.894320174153876,1
"hsa-miR-130bSTAR(1)",25.3326135764069,-0.160449896222753,0.534840585289587,-0.299995738236427,0.764180406393571,0.901505107380754,1
"hsa-miR-132(1)",25.4643422983306,0.0820209565365478,0.590365537350331,0.138932494103014,0.889503493383438,0.95278832690479,1
"hsa-miR-133a(2)",76.4748012339704,1.94718234792929,0.805904188873456,2.41614620548279,0.0156857615519761,0.743161287861409,1
"hsa-miR-134(1)",89.6403788593329,-0.776858508496241,0.593673788405559,-1.30856123963745,0.190683017702928,0.77193106985349,1
"hsa-miR-136-3p(1)",62.1798672905777,0.553943153573609,0.842781214621504,0.6572799013115,0.511000957422625,0.869228402088236,1
"hsa-miR-136-5p(1)",18.1420810981947,-0.819988084495204,0.751483272187385,-1.09115946401364,0.275202721110809,0.774839881199967,1
"hsa-miR-139(1)",84.5589952084308,0.248828132804635,0.576908927718849,0.431312674928648,0.666241035455319,0.901505107380754,1
"hsa-miR-139STAR(1)",14.9741367248154,0.0661297075604544,0.670455925362204,0.0986339370850199,0.921428923496623,0.960226629010807,1
"hsa-miR-140(1)",779.203632199196,0.979806702537225,0.53346249174256,1.83669277166362,0.0662552629588417,0.760324285233523,1
"hsa-miR-140STAR(1)",127.112924435848,-0.0836328394389576,0.483895847764657,-0.172832314691885,0.862783235805279,0.948247878922944,1
